YEAR;ESCALA;COUNTRY
1850;7.5;CHINA
1850;5.0;CHINA
1851;7.1;CHILE
1851;7.2;CHILE
1851;6.6;ALBANIA
1852;6.5;INDONESIA
1852;5.8;IRAN
1852;6.0;CHINA
1852;7.3;TURKEY
1852;7.5;PHILIPPINES
1852;6.8;INDONESIA
1852;8.3;INDONESIA
1852;7.0;MEXICO
1852;7.0;INDONESIA
1853;6.7;VENEZUELA
1854;6.0;INDONESIA
1854;7.2;COSTA RICA
1854;7.2;COSTA RICA
1854;4.5;IRAN
1854;8.3;JAPAN
1854;8.4;JAPAN
1854;5.5;CHINA
1855;8.0;NEW ZEALAND
1855;5.5;NEW ZEALAND
1855;6.7;TURKEY
1855;6.7;TURKEY
1855;6.0;USA
1855;7.0;JAPAN
1855;7.0;JAPAN
1855;7.0;JAPAN
1855;5.5;CHINA
1855;4.8;CHINA
1856;5.5;USA
1856;5.5;CHINA
1856;7.5;HONDURAS
1856;8.0;JAPAN
1856;6.6;GREECE
1857;8.3;USA
1857;6.7;TURKEY
1857;8.0;PAPUA NEW GUINEA
1857;7.0;INDONESIA
1857;6.4;JAPAN
1857;6.5;ITALY
1858;7.5;RUSSIA
1858;6.5;CHILE
1858;7.3;INDONESIA
1859;6.1;TURKEY
1859;5.9;AZERBAIJAN
1859;7.0;INDONESIA
1859;7.3;INDONESIA
1859;6.2;EL SALVADOR
1859;6.8;INDONESIA
1859;7.6;CHILE
1859;7.0;EL SALVADOR
1861;8.5;INDONESIA
1861;7.0;INDONESIA
1861;7.0;INDONESIA
1861;6.8;INDONESIA
1861;6.0;CHINA
1861;6.5;INDONESIA
1861;7.4;JAPAN
1861;7.5;GREECE
1862;7.5;RUSSIA
1862;6.5;PHILIPPINES
1862;5.9;USA
1862;6.5;TAIWAN
1862;6.5;GHANA
1862;6.1;TURKEY
1862;5.5;CHINA
1863;6.7;GREECE
1863;5.5;CHINA
1863;6.5;PHILIPPINES
1863;7.5;VANUATU
1863;6.4;JAPAN
1863;5.5;CHINA
1863;6.7;TURKEY
1864;7.8;INDONESIA
1864;6.4;IRAQ
1865;6.0;IRAN
1865;6.3;USA
1865;6.0;PHILIPPINES
1865;8.0;TONGA
1866;6.1;GREECE
1866;6.0;GREECE
1866;6.7;ALBANIA
1867;7.9;GREECE
1867;7.0;GREECE
1867;7.1;GREECE
1867;7.5;USA TERRITORY
1867;7.0;TAIWAN
1868;7.9;USA
1868;6.5;UZBEKISTAN
1868;6.7;TURKEY
1868;7.5;BANGLADESH
1868;8.5;CHILE
1868;8.5;CHILE
1868;8.0;ECUADOR
1868;7.7;ECUADOR
1868;7.6;NEW ZEALAND
1868;4.5;GEORGIA
1868;6.8;USA
1868;5.5;CHINA
1869;6.5;NEPAL
1869;7.0;PHILIPPINES
1869;6.8;CHILE
1869;7.5;CHILE
1869;5.6;UKRAINE
1869;7.5;GREECE
1870;7.3;CHINA
1870;7.9;MEXICO
1870;7.0;GREECE
1870;7.5;GREECE
1871;7.0;USA
1871;5.9;USA
1871;7.5;CHILE
1871;7.3;CHILE
1871;5.6;IRAN
1872;6.3;IRAN
1872;6.5;PERU
1872;6.0;PHILIPPINES
1872;5.7;AZERBAIJAN
1872;7.4;JAPAN
1872;7.8;USA
1872;7.3;TURKEY
1872;4.9;GHANA
1872;4.3;UKRAINE
1873;6.7;USA
1873;8.0;PAPUA NEW GUINEA
1874;6.1;TURKEY
1874;5.9;VENEZUELA
1875;7.5;MEXICO
1875;8.0;NEW CALEDONIA
1875;7.3;TURKEY
1875;7.0;VANUATU
1875;6.1;TURKEY
1875;7.5;COLOMBIA
1875;5.2;UKRAINE
1875;6.2;ETHIOPIA
1875;7.0;PAPUA NEW GUINEA
1876;6.8;INDONESIA
1876;6.0;CHINA
1877;8.3;CHILE
1878;7.5;VANUATU
1878;7.9;CHILE
1878;8.0;VANUATU
1878;5.9;VENEZUELA
1878;6.7;TURKEY
1878;4.3;MEXICO
1878;5.5;CHINA
1879;5.7;COTE D'IVOIRE
1879;6.7;IRAN
1879;6.7;IRAN
1879;8.0;CHINA
1879;5.9;EGYPT
1880;5.5;TURKEY
1880;5.5;CHINA
1880;7.5;PHILIPPINES
1880;6.1;TURKEY
1880;6.7;TURKEY
1880;7.7;CHILE
1880;7.0;NEW ZEALAND
1880;7.0;USA
1881;5.5;TAIWAN
1881;7.3;GREECE
1881;6.5;CHINA
1881;5.5;TAIWAN
1881;6.1;TURKEY
1881;7.0;JAPAN
1881;7.9;INDIA
1882;4.8;SLOVENIA
1882;8.3;PANAMA
1882;7.5;INDONESIA
1882;5.8;CHINA
1882;6.3;TAIWAN
1883;6.0;COLOMBIA
1883;6.2;IRAN
1883;5.5;CHINA
1883;7.3;TURKEY
1883;5.8;IRAN
1884;5.3;TAIWAN
1884;6.2;ERITREA
1884;5.5;USA
1884;7.5;PANAMA
1884;6.5;CHINA
1884;6.7;SPAIN
1885;6.0;CHINA
1885;7.3;INDONESIA
1885;4.0;RUSSIA
1885;6.8;INDONESIA
1885;6.9;KYRGYZSTAN
1885;5.9;ALGERIA
1885;5.0;CHINA
1886;7.5;GREECE
1886;7.7;USA
1887;8.0;MEXICO
1887;7.3;KAZAKHSTAN
1887;6.8;CHINA
1888;7.5;TRINIDAD AND TOBAGO
1888;5.0;CHINA
1888;7.5;CHINA
1888;7.3;NEW ZEALAND
1888;6.1;TURKEY
1889;6.8;PHILIPPINES
1889;8.3;KAZAKHSTAN
1889;6.3;JAPAN
1889;8.0;INDONESIA
1889;6.9;GREECE
1889;6.0;INDONESIA
1889;4.7;COTE D'IVOIRE
1890;7.2;IRAN
1890;5.5;CHINA
1891;5.8;CHINA
1891;6.2;NEW ZEALAND
1891;7.0;INDONESIA
1891;8.4;JAPAN
1892;6.2;USA
1892;7.5;USA TERRITORY
1892;7.0;INDONESIA
1893;6.4;GREECE
1893;6.5;GREECE
1893;6.7;TURKEY
1893;6.4;GREECE
1893;5.5;CHINA
1893;7.5;ALBANIA
1893;6.0;VANUATU
1893;6.8;CHINA
1893;6.6;IRAN
1893;6.8;CHINA
1893;6.5;CHINA
1894;7.9;JAPAN
1894;6.7;GREECE
1894;6.9;GREECE
1894;8.2;VENEZUELA
1894;7.5;JAPAN
1894;6.3;GREECE
1894;7.0;JAPAN
1894;7.5;ARGENTINA
1895;6.8;IRAN
1895;7.3;SOLOMON SEA
1895;6.1;SLOVENIA
1895;7.5;GREECE
1895;6.4;ALBANIA
1895;8.2;TURKMENISTAN
1895;6.0;NEW ZEALAND
1895;6.0;CHINA
1895;4.3;USA
